status,description,bed,washroom,garage,location
For Sale,3 bedroom detached house for sale ,3,4,2, ABURI
For Rent,1 bedroom apartment for rent ,1,1,1, Cantonments 1
For Sale,2 bedroom semi-detached house for sale ,2,3,2, Tema
For Sale,2 bedroom semi-detached house for sale ,2,3,2, SPINTEX
For Sale,3 bedroom detached house for sale ,3,3,2, OYARIFA
For Sale,3 bedroom detached house for sale ,3,3,2, OYARIFA
For Sale,land for sale ,Legon,Hills,0, Tema Community 23 -
For Sale,3 bedroom detached house for sale ,3,4,2, Tema
For Sale,penthouseapartment for sale ,3,3,0, Tse Addo 3 3
For Sale,2 bedroom detached house for sale ,2,3,2, ABURI
For Sale,3 bedroom semi-detached house for sale ,3,4,2, Tema
For Sale,2 bedroom townhouse for sale ,2,1,0, Ha
For Sale,2 bedroom apartment for sale ,2,2,0, Tse Addo
For Sale,4 bedroom townhouse for sale ,4,5,0, Ashaley Botwe
For Sale,terracehouse for sale ,3,3,2, Ha
For Sale,4 bedroom Townhouse for sale ,4,4,0, East Legon
For Sale,5 bedroom House for sale ,5,5,0, Valley View
For Sale,Commercial space for sale ,Crescent,6,0, Adjuma Crescent 6
For Sale,22 bedroom Apartment for sale ,22,30,15, Ashongman Est
For Rent,3 bedroom Apartment for rent ,3,2,0, Dzorwulu 3
For Sale,2 bedroom Apartment for sale ,2,2,8, La 2
For Sale,3 bedroom House for sale ,3,4,0, East Legon
For Sale,7 bedroom Apartment for sale ,7,7,1, Ha
For Rent,2 bedroom Apartment for rent ,2,2,2, East Legon
For Rent,2 bedroom House for rent ,2,1,2, Oyarifa 2
For Rent,1 bedroom Apartment for rent ,1,1,1, Ringway 1
For Rent,3 bedroom House for rent ,3,3,0, Airport Area
For Sale,3 bedroom House for sale ,3,3,0, Lakeside Est
For Rent,6 bedroom House for rent ,6,4,0, McCarthy Hill
For Rent,1 bedroom Apartment for rent ,1,1,0, Appolonia Junction
For Rent,2 bedroom Apartment for rent ,2,2,0, Ahodwo 2
For Rent,Office for rent ,10,30,0, Tema 10 30
For Sale,11 bedroom House for sale ,11,11,0, Kasoa 11
For Rent,2 bedroom Apartment for rent ,2,2,0, East Legon
For Sale,21 bedroom House for sale ,21,9,0, Kasoa 21
For Rent,2 bedroom Apartment for rent ,26,2,3, Community 26
For Sale,5 bedroom House for sale ,5,5,0, Akosombo 5
For Sale,3 bedroom House for sale ,3,4,0, Frafraha 3
For Sale,3 bedroom House for sale ,3,3,0, Achimota 3
For Rent,2 bedroom Apartment for rent ,2,3,8, Dzorwulu 2
For Rent,5 bedroom House for rent ,5,4,0, East Legon
For Rent,1 bedroom Apartment for rent ,1,1,2, Spintex 1
For Rent,3 bedroom House for rent ,3,3,0, East Legon
For Rent,2 bedroom Apartment for rent ,2,2,0, Spintex 2
For Rent,5 bedroom House for rent ,5,5,5, Community 5
For Rent,9 bedroom House for rent ,9,9,0, East Legon
For Rent,2 bedroom Apartment for rent ,2,2,0, Tse Addo
For Rent,2 bedroom Apartment for rent ,2,2,2, Kumasi 2
For Rent,1 bedroom Apartment for rent ,1,1,0, Cantonments 1
For Rent,7 bedroom House for rent ,7,6,7, East Legon
For Rent,Townhouse for rent ,3,3,0, Cantonments 3 3
For Rent,Office for rent ,Liberation,Road,0, Liber
For Rent,2 bedroom House for rent ,2,3,0, Spintex F.M
For Rent,2 bedroom Apartment for rent ,2,2,0, West Trasacco
For Rent,1 bedroom Apartment for rent ,1,1,8, Ha
For Rent,2 bedroom Apartment for rent ,2,1,1, Ofankor 2
For Rent,5 bedroom House for rent ,5,4,2, Spintex 5
For Rent,3 bedroom Apartment for rent ,3,2,1, Airport Area
For Rent,Townhouse for rent ,3,4,2, Cantonments 3 4 2
For Rent,3 bedroom House for rent ,3,4,6, East Legon
For Rent,3 bedroom Apartment for rent ,3,3,0, Dzorwulu 3
For Rent,Townhouse for rent ,3,2,0, 3 2
For Rent,2 bedroom Apartment for rent ,2,2,2, North Legon
For Rent,Townhouse for rent ,4,4,1, Dzorwulu 4 4 1
For Rent,3 bedroom Apartment for rent ,3,4,20, EastLegon 3
For Rent,3 bedroom Apartment for rent ,3,3,0, Airport Residential
For Rent,3 bedroom House for rent ,3,3,0, East Legon
For Rent,2 bedroom Apartment for rent ,2,2,1, Dzorwulu 2
For Rent,7 bedroom House for rent ,7,9,0, McCarthy Hill
For Rent,2 bedroom Apartment for rent ,2,2,0, East Airport
For Rent,Office for rent ,Airport,Area,0, Airport Area
For Rent,1 bedroom Apartment for rent ,1,1,1, Cantonments 1
For Rent,Commercial space for rent ,Legon,11,0, East Legon 11
For Rent,2 bedroom Apartment for rent ,2,1,4, Spintex 2
For Rent,1 bedroom House for rent ,1,1,0, Ogbodjo 1
For Rent,3 bedroom House for rent ,3,3,0, Labone 3
For Rent,2 bedroom House for rent ,2,3,0, Spintex 2
For Rent,3 bedroom Apartment for rent ,3,3,0, Airport Residential
For Sale,Land for sale ,East,Legon,0, East Legon
For Sale,3 bedroom House for sale ,3,4,3, East Legon
For Sale,3 bedroom House for sale ,3,3,0, Achimota 3
For Sale,Land for sale ,COMMUNITY,25,0, TEMA COMMUNITY 25
For Sale,6 bedroom House for sale ,6,7,2, East Legon
For Sale,4 bedroom House for sale ,4,4,1, East Legon
For Sale,Land for sale ,Dodowa,Ayikuma,0, Dodowa Ayikuma
For Sale,4 bedroom House for sale ,4,4,1, East Legon
For Sale,5 bedroom House for sale ,5,5,0, Community 25
For Sale,Land for sale ,Hospital,Road,0, Est
For Sale,Land for sale ,airport,east,0, airport east
For Sale,Land for sale ,AT,TSOPOLI,0, AFFORDABLE ESTATE LAND AT
For Sale,Townhouse for sale ,4,4,0, Tesano 4 4
For Sale,5 bedroom House for sale ,5,5,1, Dzorwulu 5
For Sale,5 bedroom House for sale ,5,4,3, Ogbodjo 5
For Sale,Land for sale , Abokobi,Abokobi,0, Abokobi
For Sale,5 bedroom House for sale ,5,6,8, Dansoman 5
For Sale,4 bedroom House for sale ,4,5,4, Oyarifa 4
For Sale,Land for sale ,MISS,THIS,0, TEMA COMMUNITY 25 _
For Sale,3 bedroom House for sale ,3,3,0, Achimota 3
For Sale,Land for sale , Oyibi,Oyibi,0, Oyibi
For Sale,5 bedroom Apartment for sale ,5,6,2, Eastlegon 5
For Sale,3 bedroom House for sale ,3,3,4, East Legon
For Sale,3 bedroom House for sale ,3,4,4, Ayimensah Oyarifa
For Sale,2 bedroom House for sale ,2,2,4, Santor 2
For Sale,3 bedroom House for sale ,3,3,0, Tamale 3
For Sale,Land for sale , Prampram,Prampram,0, Prampram
For Sale,Land for sale ,ESTATE,JUNCTION,0, MANET COURT ESTATE JUNCTION
For Rent,3 bedroom Apartment for rent ,3,3,4, Achimota miles
For Rent,2 bedroom Apartment for rent ,2,2,2, Dzowulu 2
For Rent,2 bedroom House for rent ,2,2,3, Lakeside community
For Rent,3 bedroom House for rent ,3,1,4, Dansoman 3
For Rent,1 bedroom Apartment for rent ,1,1,0, Labone 1
For Rent,Shop for rent ,1,6,0, Achimota 1 6
For Rent,2 bedroom Apartment for rent ,2,3,2, Dansoman 2
For Rent,2 bedroom Apartment for rent ,2,3,0, Ridge 2
For Rent,1 bedroom Apartment for rent ,1,1,2, East legon
For Sale,Land for sale ,HIGHLY,SECURED,0, TEMA COMMUNITY 25 BUY
For Sale,Land for sale ,PLOT,ALLOCATION,0, PRAMPRAM BEACH LANE FREE
For Sale,Land for sale ,{FAST,DEV,0, PRAMPRAM BEACH LANE INCREDIBLE
